hotel_name,location,rate,facility,category
OYO 1593 Pondok Garini Syariah,"Near Nurul `Ashri Deresan Mosque , Yogyakarta",4.7,"Free Wifi, Queen Sized Bed, AC, TV, Parking Facility","Saver Double, Indonesia Deluxe Twin, Indonesia Deluxe Double"
OYO 524 Makuta Hotel,"Near De Mata Trick Eye Museum, Yogyakarta",4.8,"Free Wifi, King Sized Bed, Queen Sized Bed, Twin Single Bed, AC","Indonesia Standard Twin, Indonesia Suite Triple, Indonesia Deluxe Twin, Indonesia Deluxe Double, Classic (2X), Indonesia Standard Double"
OYO 1626 Alena Residence,"Near Yogyakarta Train Station, Yogyakarta",NEW,"Twin Single Bed, AC, TV","Indonesia Deluxe Twin, Indonesia Deluxe Double"
SPOT ON 2857 Hotel Pelangi,"Near Jogja National Museum, Yogyakarta",NEW,"Free Wifi, Twin Single Bed, King Sized Bed, Queen Sized Bed, AC","SPOT ON Single, SPOT ON Triple, SPOT ON Double"
SPOT ON 2419 Rumah Nugraha Hotel Syariah,"Near Alun- Alun Kidul Yogyakarta, Yogyakarta",NEW,"Twin Single Bed, AC, TV","SPOT ON Twin, SPOT ON Triple"
OYO 2627 Ratamya Co-living,"Near Mandala Krida, Yogyakarta",4.7,"Free Wifi, Twin Single Bed, AC, TV, Parking Facility","Indonesia Deluxe Twin, Delux Family, Indonesia Deluxe Double"
OYO 348 Hotel Dieng Permai,"Near Yogyakarta train Station , Yogyakarta",4.6,"Free Wifi, Kitchen, Queen Sized Bed, AC, TV","Indonesia Deluxe Double, Delux Family, Indonesia Deluxe Twin, Indonesia Suite Family, Indonesia Standard Double"
OYO 745 Griya Jasmine Syariah,"Near Plaza Ambarrukmo, Yogyakarta",NEW,"Free Wifi, AC, TV, CCTV Cameras, Reception",Indonesia Standard Single
OYO 1338 Hotel Sartika,Near Malioboro,NEW,"Free Wifi, Twin Single Bed, AC, TV, Seating Area","Indonesia Standard Twin, Indonesia Deluxe Twin, Indonesia Standard Double, Indonesia Deluxe Double, Indonesia Suite Triple"
OYO 90265 Cempoko Mulyo Homestay Syariah,"23, Jl. Sumberan Baru No.23, Kembang, Ngestiharjo, Kec. Kasihan, Bantul, Yogyakarta",NEW,"Free Wifi, AC, TV, Parking Facility, CCTV Cameras","Indonesia Deluxe Double, Indonesia Suite Double"
OYO 90778 River inn Malioboro,Near Malioboro Mall,4.8,"AC, TV","Indonesia Deluxe Double, Indonesia Deluxe Single"
